exercise_name,record_type,exercise_type,result_rows,participants,workouts,first_seen,last_seen
Dumbbell Lying Down Row,strength,system,6,2,2,2024-01-12,2024-10-28
Kettlebell Plie Squat,strength,system,6,2,2,2025-02-11,2025-09-15
Kettlebell Single Arm Floor Press,strength,system,6,2,2,2024-08-15,2025-11-28
Kettlebell Split Squat,strength,system,6,2,2,2024-12-20,2025-01-01
Pilates - Double Leg Lower Lift,strength,system,6,2,3,2026-02-21,2026-06-17
SuperBand Overhead Tricep Extension,endurance,system,6,2,2,2023-12-21,2026-07-11
SuperBand Single Arm Lateral Raise,endurance,system,6,2,2,2023-12-21,2026-07-11
90-90 Hip Rotations,strength,system,5,2,2,2025-06-17,2026-07-16
Barbell Floor Glute Bridge,strength,system,5,2,2,2025-08-21,2026-05-01
Machine Seated Chest Press,strength,system,5,2,2,2024-08-21,2025-05-06
Mini Band Alternating Hip Abduction,endurance,system,5,2,2,2024-12-13,2024-12-13
Mini Band Alternating Side Steps (Squat Stance),endurance,system,5,2,2,2024-12-20,2025-04-01
Single Arm Tricep Pushdown,strength,system,5,2,2,2025-03-10,2025-09-20
Single Arm Wide Grip Lat Pulldown,strength,system,5,2,2,2026-03-11,2026-04-10
Squat Pulse,strength,system,5,2,2,2025-03-17,2025-05-12
Away Facing Cable Pulldown,strength,system,4,2,2,2023-11-21,2025-11-14
Band Anchored Pistol Squat to Row,endurance,system,4,2,2,2024-11-08,2024-11-08
Banded Lateral Step Outs,strength,custom,4,2,2,2025-07-10,2025-10-21
Bodyweight Squat,strength,custom,4,2,2,2024-10-10,2026-07-06
Cable Single Arm Tricep Pushdown,strength,system,4,2,2,2025-11-12,2026-02-18
Dumbbell Front Raise,strength,system,4,2,2,2025-07-29,2026-06-01
Dumbbell Single Arm Standing Shoulder Press,strength,system,4,2,2,2025-05-14,2026-03-18
Scapular Pushups,endurance,system,4,2,2,2025-02-17,2025-02-19
SuperBand Single Leg Glute Bridge,endurance,system,4,2,2,2023-12-23,2026-07-10
Wide Grip Pull Up,strength,system,4,2,2,2026-03-10,2026-05-11
Foam Roller Quadricep,general,system,3,2,2,2025-11-01,2026-01-28
Battle Rope Burpee,endurance,system,2,2,2,2024-11-02,2024-11-02
Supine Supported Cervical Rotations,endurance,custom,24,1,8,2026-04-27,2026-07-20
W.Y.T,strength,custom,24,1,8,2024-07-24,2024-09-18
Supine Scapula I's,endurance,custom,18,1,6,2026-04-27,2026-05-18
Supine Scapula T's,endurance,custom,18,1,6,2026-04-27,2026-05-18
Supine Scapula Y's,endurance,custom,18,1,6,2026-04-27,2026-05-18
Suspension Reverse Lunge,endurance,system,16,1,8,2025-04-18,2025-07-29
GHD Reverse Hyperextenstion,endurance,system,15,1,5,2023-11-13,2023-12-18
Kettlebell Walking Lunges,strength,system,15,1,5,2025-05-26,2025-07-02
B-Stance Dumbbell Squat,strength,custom,14,1,7,2024-07-26,2024-11-15
Cable V Bar Tricep Pushdown,strength,system,14,1,7,2025-04-10,2025-05-22
Machine Tricep Pushdowns,strength,system,13,1,5,2024-01-10,2024-02-21
Bodyweight Single Leg Calf Raise,strength,system,12,1,4,2026-04-21,2026-06-02
Kettlebell Racked Reverse Lunge,strength,system,12,1,6,2025-03-24,2025-06-23
Machine Seated Shoulder Press,strength,system,12,1,4,2024-09-29,2025-01-08
Mini Band Fire Hydrants,endurance,system,12,1,6,2024-12-23,2025-02-10
Suspension Assisted Slider Lunge,endurance,system,12,1,6,2024-07-26,2024-09-20
T-Bar Row,strength,system,12,1,6,2025-05-26,2025-06-30
Bent Knee Toes to Bar,endurance,system,10,1,5,2025-08-22,2026-03-11
Bodyweight Alternating Reverse Lunges,endurance,system,10,1,2,2024-06-04,2024-06-11
Cable Standing Close Row,strength,system,10,1,2,2024-06-04,2024-06-11
Kettlebell Standing Overhead Press,strength,system,10,1,5,2025-05-30,2025-07-04
Plank Alternating Arm & Leg Lift,endurance,system,10,1,5,2025-07-10,2025-09-25
Zercher Goodmornings,strength,custom,10,1,3,2024-08-28,2024-09-11
Kettlebell Single Arm Shoulder Press,strength,system,9,1,3,2025-11-06,2025-11-28
Pendlay Row,strength,custom,9,1,3,2024-08-28,2024-09-18
Barbell Step Up,strength,system,8,1,4,2024-08-23,2024-10-25
Cable Single Arm Standing Fly,strength,system,8,1,3,2025-05-01,2025-05-22
High Side Plank from Knees With Leg Lift,timedLongerBetter,system,8,1,4,2025-02-24,2025-04-07
Leg Press Machine Calf Raise,strength,system,8,1,4,2026-06-22,2026-07-14
Stability Ball Single Leg Bent Knee Glute Bridge,endurance,system,8,1,4,2026-02-27,2026-07-13
incline bench pigeon stretch,strength,custom,8,1,4,2025-07-12,2025-08-16
Double Deadbug,strength,system,7,1,3,2025-08-29,2025-09-15
Barbell High Pull,strength,system,6,1,2,2025-12-13,2025-12-20
Core Bracing,strength,custom,6,1,3,2026-07-01,2026-07-15
Dynamic Pigeon Stretch,endurance,system,6,1,4,2026-06-25,2026-07-16
Medicine Ball Lunge,strength,system,6,1,3,2026-06-22,2026-06-23
Medicine Ball Lunge Twist to Overhead Press,strength,system,6,1,3,2026-06-22,2026-06-23
Medicine Ball Overhead Lunge,strength,system,6,1,3,2026-06-22,2026-06-23
Medicine Ball Slider Lunge,endurance,system,6,1,3,2024-10-24,2024-11-14
Medicine Ball Squat,strength,system,6,1,3,2026-06-29,2026-07-21
"Supine I's, Y's & T's",endurance,custom,6,1,2,2026-05-25,2026-07-20
Double Kettlebell Push Press,strength,system,5,1,2,2025-12-13,2025-12-20
Dumbbell Alternating Shoulder Press,strength,system,5,1,2,2024-10-17,2024-10-24
Kneeling Side Plank,timedLongerBetter,system,5,1,2,2025-10-27,2025-11-10
Pilates - Inner Thigh Squeeze with Ball Between Knees,strength,system,5,1,2,2026-06-29,2026-07-07
Assisted Leg Lowering to Bolster,endurance,system,4,1,2,2026-01-30,2026-02-06
Barbell B Stance Hip Thrust,strength,system,4,1,2,2025-04-04,2025-10-31
Barbell Wide Grip Bicep Curl,strength,system,4,1,2,2025-01-23,2025-01-30
Bench Bridge March,strength,system,4,1,1,2026-04-10,2026-04-10
Box Squat (Stool + 1 x 15kg Bumper Plates),endurance,custom,4,1,2,2026-01-29,2026-02-05
Cable Single Arm Standing Overhead Tricep Extension,strength,system,4,1,2,2025-04-04,2025-04-11
Mini Band Fencer Walk,endurance,system,4,1,1,2026-04-10,2026-04-10
Pulse Sumo Squats,strength,system,4,1,2,2026-04-20,2026-05-04
Stability Ball Back Extension,endurance,system,4,1,2,2026-01-08,2026-05-13
Stability Ball Crunch,endurance,system,4,1,2,2024-06-27,2024-07-04
SuperBand Anchored Tricep Pushdown,endurance,system,4,1,2,2026-04-10,2026-04-15
Suspension Squat,endurance,system,4,1,1,2025-11-05,2025-11-05
Thorasic Row Kneeling,strength,custom,4,1,1,2026-04-10,2026-04-10
90-90 Hip Stretch (Internal Bias),strength,system,3,1,1,2025-08-28,2025-08-28
90-90 hip stretch,strength,system,3,1,1,2025-06-23,2025-06-23
Active Straight Leg Drop,strength,system,3,1,1,2025-11-12,2025-11-12
BOSU Dome Up Push Up,endurance,system,3,1,1,2024-09-11,2024-09-11
Balance Board Single Leg Standing with Knee Raise,endurance,system,3,1,1,2026-03-17,2026-03-17
Band Deadlift,endurance,system,3,1,1,2024-06-14,2024-06-14
Band Single Leg Lying Press,endurance,system,3,1,1,2024-06-24,2024-06-24
Banded Thruster,strength,system,3,1,1,2025-11-06,2025-11-06
Box Squat (Stool + 4 x 15kg Bumper Plates),endurance,custom,3,1,1,2025-12-19,2025-12-19
Box Squat (Stool),endurance,custom,3,1,1,2025-06-29,2025-06-29
Cable Bicep Curl,strength,system,3,1,1,2024-06-14,2024-06-14
Cable Lateral Raise,strength,system,3,1,1,2025-01-06,2025-01-06
Cable Pull Through,strength,system,3,1,1,2026-05-25,2026-05-25
Cable Single Arm Reverse Fly,strength,system,3,1,1,2025-12-17,2025-12-17
Donkey Kick,endurance,system,3,1,1,2024-06-12,2024-06-12
Dumbbell Bent over row to Rear Fly,strength,system,3,1,1,2026-04-10,2026-04-10
Dumbbell Deadlift to Row,strength,system,3,1,1,2026-03-02,2026-03-02
Dumbbell Single Leg Squat,strength,system,3,1,1,2025-09-10,2025-09-10
Foam Roller Adductor,general,system,3,1,1,2025-06-03,2025-06-03
Foam Roller T-Spine,strength,system,3,1,1,2026-01-28,2026-01-28
Half Kneeling SuperBand Single Arm Row,endurance,system,3,1,1,2024-06-24,2024-06-24
Hip Thrust with abduction,strength,custom,3,1,1,2026-04-10,2026-04-10
Kettlebell Bent Over Row,strength,system,3,1,1,2025-09-09,2025-09-09
Kettlebell Kickstand Deadlift,strength,system,3,1,1,2025-11-28,2025-11-28
Kettlebell Lateral Step Up,strength,system,3,1,1,2025-05-15,2025-05-15
Machine Single Leg Extension,strength,system,3,1,1,2024-10-11,2024-10-11
Medicine Ball Over Head Backward Slam,strength,system,3,1,1,2025-11-22,2025-11-22
Mini Band Glute Kickback,endurance,system,3,1,1,2025-04-01,2025-04-01
Pin Barbell Back Squat,strength,custom,3,1,1,2024-08-06,2024-08-06
Sandbag Side Lunge,strength,system,3,1,1,2026-07-21,2026-07-21
Stability Ball Glute Bridge,endurance,system,3,1,1,2025-03-29,2025-03-29
SuperBand Overhead Reverse Lunge,endurance,system,3,1,1,2026-07-04,2026-07-04
SuperBand Overhead Squat,endurance,system,3,1,1,2026-07-04,2026-07-04
SuperBand Single Arm Row,endurance,system,3,1,1,2024-02-28,2024-02-28
Superband Squat,endurance,system,3,1,1,2026-07-04,2026-07-04
Yoga - Child’s Pose (Balasana),strength,system,3,1,1,2026-07-11,2026-07-11
Yoga - Lotus Pose (Padmasana),strength,system,3,1,1,2026-07-11,2026-07-11
Yoga - Low Lunge to High Lunge Flow,strength,system,3,1,1,2026-07-11,2026-07-11
Yoga - Marichi’s Pose (Marichyasana),strength,system,3,1,1,2026-07-11,2026-07-11
Alternating Dumbbell Chest Press,strength,system,2,1,1,2026-04-29,2026-04-29
Alternating Dumbbell Step Up,strength,system,2,1,1,2026-07-16,2026-07-16
Alternating Leg Drop,endurance,system,2,1,1,2025-02-28,2025-02-28
Barbell Bulgarian Split Squat,strength,system,2,1,1,2024-03-04,2024-03-04
Barbell Good Morning,strength,system,2,1,1,2026-03-13,2026-03-13
Bear Plank with Shoulder Tap,strength,system,2,1,1,2025-12-02,2025-12-02
Bird Dog Balance Row,strength,system,2,1,1,2025-05-29,2025-05-29
Cable Kneeling Single Arm Lat Pulldown,strength,system,2,1,1,2026-01-02,2026-01-02
Cable Seated Wide Grip Row,strength,system,2,1,1,2025-10-01,2025-10-01
Cable Standing Horizontal Chest Fly,strength,system,2,1,1,2025-10-22,2025-10-22
Cable Standing Rear Delt Crossover,strength,system,2,1,1,2024-07-31,2024-07-31
Cable Underhand Pulldown,strength,system,2,1,1,2026-06-03,2026-06-03
Close Grip Scapular Retraction,strength,system,2,1,1,2026-02-06,2026-02-06
Dumbbell B-Stance RDL to Single Arm Row,strength,system,2,1,1,2025-11-21,2025-11-21
Dumbbell Bench Deadbug Pullover,strength,system,2,1,1,2026-06-03,2026-06-03
Dumbbell Flat Bench Chest Fly,strength,system,2,1,1,2025-04-18,2025-04-18
Dumbbell Goblet Squat Pulses,strength,system,2,1,1,2026-07-06,2026-07-06
Dumbbell Incline Alternating Curl,strength,system,2,1,1,2026-05-02,2026-05-02
Dumbbell Lying Down Reverse Fly,strength,system,2,1,1,2026-03-25,2026-03-25
Dumbbell Overhead Standing March,strength,system,2,1,1,2026-07-02,2026-07-02
Dumbbell Shrug,strength,system,2,1,1,2024-11-11,2024-11-11
Dumbbell Single Arm Bicep Curl,strength,system,2,1,1,2024-12-23,2024-12-23
Dumbbell Single Leg Deadlift to Row,strength,system,2,1,1,2025-12-12,2025-12-12
Dumbbell Step-Up to Overhead Press,strength,system,2,1,1,2026-07-16,2026-07-16
Foot stretches (top and bottom),strength,custom,2,1,1,2026-01-30,2026-01-30
Jumping Rope,endurance,system,2,1,1,2024-09-03,2024-09-03
Kettlebell Plank Pull Through,strength,system,2,1,1,2025-04-27,2025-04-27
Lat Machine Single Arm Wide Grip,strength,system,2,1,1,2024-10-28,2024-10-28
Lat Machine Wide Grip Scapular Retraction,strength,system,2,1,1,2024-02-12,2024-02-12
Laying Hamstring Curl,strength,system,2,1,1,2025-06-19,2025-06-19
Lying T-Bar Row,strength,system,2,1,1,2024-08-26,2024-08-26
Machine Assisted Parallel Grip Pull Up,strength,system,2,1,1,2025-07-21,2025-07-21
Machine Seated Leg Curl,strength,system,2,1,1,2025-03-17,2025-03-17
Medicine Ball Leg Drops,strength,system,2,1,1,2025-08-01,2025-08-01
Mini Band Alternating Lateral Lunge,endurance,system,2,1,1,2026-04-03,2026-04-03
Mini Band Wall Sit,timedLongerBetter,system,2,1,1,2025-11-01,2025-11-01
Oblique Crunch Leg Raise,endurance,system,2,1,1,2026-02-08,2026-02-08
Pilates - Donkey Kicks,strength,system,2,1,1,2025-08-21,2025-08-21
Plantar Fascia (Foot) Release,general,custom,2,1,2,2024-01-29,2024-02-05
Plate Weighted Wide Grip Pull Up,strength,system,2,1,1,2026-04-06,2026-04-06
Sciatic Nerve Glide,general,system,2,1,2,2026-01-09,2026-01-23
Slider Side Lunge,endurance,system,2,1,1,2026-01-23,2026-01-23
Smith Machine Single Arm Bench Press,strength,system,2,1,1,2026-04-29,2026-04-29
Split Squat Pulse,strength,system,2,1,1,2026-07-20,2026-07-20
Stability Ball Bent Knee Glute Bridge,endurance,system,2,1,1,2026-02-26,2026-02-26
Stability Ball Straight Leg Dead Bug,strength,system,2,1,1,2025-09-19,2025-09-19
SuperBand Push Up,endurance,system,2,1,1,2024-11-06,2024-11-06
The Dead Bug,strength,custom,2,1,2,2025-02-01,2025-03-22
Tibialis Stretch,general,custom,2,1,2,2024-01-29,2024-02-05
couch stretch,strength,custom,2,1,1,2025-11-01,2025-11-01
Cycling,cardio,system,1,1,1,2024-10-22,2024-10-22
Foam Roller Calf,general,system,1,1,1,2026-02-19,2026-02-19
Foam Roller Hamstring,general,system,1,1,1,2026-02-12,2026-02-12
Foam Roller Side Glute,general,system,1,1,1,2026-01-28,2026-01-28
Foam Roller Single Leg Hamstring,general,system,1,1,1,2026-01-28,2026-01-28
Kettlebell Pass Around The Body,strength,system,1,1,1,2025-08-09,2025-08-09
Lacrosse Ball Neck Release,general,system,1,1,1,2026-07-17,2026-07-17
Landmine Offset Squat,strength,system,1,1,1,2026-04-10,2026-04-10
Overhead dowel press,strength,custom,1,1,1,2026-03-24,2026-03-24
Running,cardio,system,1,1,1,2024-08-04,2024-08-04
Slider Single Leg Tuck With Band,endurance,system,1,1,1,2024-07-05,2024-07-05
Static Proximal Hamstring Stretch,general,system,1,1,1,2025-07-22,2025-07-22
Strict Knees To Elbows,endurance,system,1,1,1,2025-12-22,2025-12-22
